second;src;dst;packetcount;src_ratio;dst_ratio;src_duration_ratio;dst_duration_ratio;TotalPacketDuration;TotalPacketLenght;src_packet_ratio;dst_packet_ratio;DioCount;DisCount;DaoCount;OtherMsg;label
662.0;18;25;16;0.800000011920929;0.800000011920929;0.9546376466751099;0.9546376466751099;0.31597900390625;1248;0.800000011920929;0.800000011920929;0;0;0;16;2
662.0;25;10;4;0.20000000298023224;0.20000000298023224;0.04536234587430954;0.04536234587430954;0.0150146484375;312;0.20000000298023224;0.20000000298023224;0;0;0;4;2
663.0;18;25;37;0.7708333134651184;0.7708333134651184;0.6767297983169556;0.6767297983169556;0.62799072265625;2886;0.7708333134651184;0.7708333134651184;0;0;0;53;2
663.0;25;10;11;0.2291666716337204;0.2291666716337204;0.32327020168304443;0.32327020168304443;0.29998779296875;858;0.2291666716337204;0.2291666716337204;0;0;0;15;2
664.0;10;5;40;0.8888888955116272;0.8888888955116272;0.886153519153595;0.886153519153595;1.0589599609375;3120;0.8888888955116272;0.8888888955116272;0;0;0;40;2
664.0;5;15;5;0.1111111119389534;0.1111111119389534;0.11384646594524384;0.11384646594524384;0.13604736328125;390;0.1111111119389534;0.1111111119389534;0;0;0;5;2
665.0;10;5;11;0.3928571343421936;0.3928571343421936;0.4704241454601288;0.4704241454601288;0.3499755859375;858;0.3928571343421936;0.3928571343421936;0;0;0;51;2
665.0;5;15;17;0.6071428656578064;0.6071428656578064;0.5295758247375488;0.5295758247375488;0.39398193359375;1326;0.6071428656578064;0.6071428656578064;0;0;0;22;2
666.0;5;15;32;0.8421052694320679;0.8421052694320679;0.9015142917633057;0.9015142917633057;0.9520263671875;2496;0.8421052694320679;0.8421052694320679;0;0;0;54;2
666.0;15;20;6;0.15789473056793213;0.15789473056793213;0.09848572313785553;0.09848572313785553;0.10400390625;468;0.15789473056793213;0.15789473056793213;0;0;0;6;2
667.0;15;20;20;0.4761904776096344;0.4761904776096344;0.3540506958961487;0.3540506958961487;0.3299560546875;1560;0.4761904776096344;0.4761904776096344;0;0;0;26;2
667.0;20;0;22;0.523809552192688;0.523809552192688;0.6459493041038513;0.6459493041038513;0.60198974609375;1716;0.523809552192688;0.523809552192688;0;0;0;22;2
668.0;20;0;21;1.0;1.0;1.0;1.0;0.32000732421875;1638;1.0;1.0;0;0;0;43;2
669.0;13;29;2;1.0;1.0;1.0;1.0;0.19696044921875;132;1.0;1.0;0;2;0;2;2
670.0;13;29;62;1.0;1.0;1.0;1.0;1.05499267578125;4092;1.0;1.0;0;62;0;64;2
671.0;13;29;5;1.0;1.0;1.0;1.0;2.52801513671875;330;1.0;1.0;0;5;0;69;2
673.0;21;29;17;1.0;1.0;1.0;1.0;0.43096923828125;1683;1.0;1.0;0;0;0;17;2
674.0;21;29;32;1.0;1.0;1.0;1.0;1.0469970703125;3168;1.0;1.0;0;0;0;49;2
675.0;21;29;4;0.2666666805744171;1.0;0.6279974579811096;1.0;0.60101318359375;396;0.2666666805744171;1.0;0;0;0;53;2
675.0;27;29;11;0.7333333492279053;1.0;0.3720025420188904;1.0;0.35601806640625;1089;0.7333333492279053;1.0;0;0;0;11;2
676.0;27;29;34;0.9714285731315613;1.0;0.9658324122428894;1.0;0.96099853515625;3366;0.9714285731315613;1.0;0;0;0;45;2
676.0;19;29;1;0.02857142873108387;1.0;0.034167587757110596;1.0;0.03399658203125;99;0.02857142873108387;1.0;0;0;0;1;2
677.0;27;29;8;0.47058823704719543;1.0;0.7993758916854858;1.0;0.81298828125;792;0.47058823704719543;1.0;0;0;0;53;2
677.0;19;29;9;0.529411792755127;1.0;0.20062413811683655;1.0;0.20404052734375;891;0.529411792755127;1.0;0;0;0;10;2
678.0;19;29;33;1.0;1.0;1.0;1.0;1.0589599609375;3267;1.0;1.0;0;0;0;43;2
679.0;19;29;10;0.7692307829856873;1.0;0.5046483278274536;1.0;0.76202392578125;990;0.7692307829856873;1.0;0;0;0;53;2
679.0;1;29;3;0.23076923191547394;1.0;0.495351642370224;1.0;0.74798583984375;297;0.23076923191547394;1.0;0;0;0;3;2
680.0;1;29;16;1.0;1.0;1.0;1.0;0.44097900390625;1584;1.0;1.0;0;0;0;19;2
681.0;1;29;27;0.9642857313156128;0.9642857313156128;0.9253684282302856;0.9253684282302856;0.89300537109375;2673;0.9625495076179504;0.9625495076179504;0;0;0;46;2
681.0;13;27;1;0.0357142873108387;0.0357142873108387;0.07463158667087555;0.07463158667087555;0.072021484375;104;0.037450484931468964;0.037450484931468964;0;0;0;1;2
682.0;1;29;7;0.2800000011920929;0.2800000011920929;0.5752032399177551;0.5752032399177551;0.57000732421875;693;0.27017542719841003;0.27017542719841003;0;0;0;53;2
682.0;13;27;18;0.7200000286102295;0.7200000286102295;0.4247967600822449;0.4247967600822449;0.42095947265625;1872;0.7298245429992676;0.7298245429992676;0;0;0;19;2
683.0;28;23;8;1.0;1.0;1.0;1.0;0.20501708984375;832;1.0;1.0;0;0;0;8;2
684.0;28;23;38;1.0;1.0;1.0;1.0;0.677001953125;3952;1.0;1.0;0;0;0;46;2
685.0;13;29;19;1.0;1.0;1.0;1.0;0.56298828125;1881;1.0;1.0;0;0;0;88;2
686.0;13;29;34;0.9189189076423645;0.9189189076423645;0.829317033290863;0.829317033290863;0.83599853515625;3366;0.9151712656021118;0.9151712656021118;0;0;0;122;2
686.0;1;19;3;0.0810810774564743;0.0810810774564743;0.17068296670913696;0.17068296670913696;0.17205810546875;312;0.08482871204614639;0.08482871204614639;0;0;0;3;2
687.0;1;19;35;0.7291666865348816;0.7291666865348816;0.6640326976776123;0.6640326976776123;0.594970703125;3640;0.7387862801551819;0.7387862801551819;0;0;0;38;2
687.0;14;29;13;0.2708333432674408;0.2708333432674408;0.3359673023223877;0.3359673023223877;0.301025390625;1287;0.2612137198448181;0.2612137198448181;0;0;0;13;2
688.0;14;29;37;0.8409090638160706;0.8409090638160706;0.9370735883712769;0.9370735883712769;0.93890380859375;3663;0.870278000831604;0.870278000831604;0;0;0;50;2
688.0;13;27;7;0.15909090638160706;0.15909090638160706;0.06292641162872314;0.06292641162872314;0.06304931640625;546;0.12972202897071838;0.12972202897071838;0;0;0;26;2
689.0;14;29;3;0.07500000298023224;0.07500000298023224;0.2362784445285797;0.2362784445285797;0.23699951171875;297;0.09330820292234421;0.09330820292234421;0;0;0;53;2
689.0;13;27;34;0.8500000238418579;0.8500000238418579;0.6869295239448547;0.6869295239448547;0.68902587890625;2652;0.8331762552261353;0.8331762552261353;0;0;0;60;2
689.0;27;26;3;0.07500000298023224;0.07500000298023224;0.07679201662540436;0.07679201662540436;0.0770263671875;234;0.07351554930210114;0.07351554930210114;0;0;0;3;2
690.0;13;27;13;0.31707316637039185;0.31707316637039185;0.3158239424228668;0.3158239424228668;0.26495361328125;1014;0.31707316637039185;0.31707316637039185;0;0;0;73;2
690.0;27;26;26;0.6341463327407837;0.6341463327407837;0.6018915772438049;0.6018915772438049;0.50494384765625;2028;0.6341463327407837;0.6341463327407837;0;0;0;29;2
690.0;26;6;2;0.04878048598766327;0.04878048598766327;0.08228446543216705;0.08228446543216705;0.06903076171875;156;0.04878048598766327;0.04878048598766327;0;0;0;2;2
691.0;26;6;52;1.0;1.0;1.0;1.0;0.96295166015625;4056;1.0;1.0;0;0;0;54;2
692.0;6;23;21;0.75;0.75;0.7125253677368164;0.7125253677368164;0.29998779296875;1638;0.75;0.75;0;0;0;21;2
692.0;23;20;7;0.25;0.25;0.2874746322631836;0.2874746322631836;0.12103271484375;546;0.25;0.25;0;0;0;7;2
693.0;9;17;6;0.6666666865348816;0.6666666865348816;0.6471794843673706;0.6471794843673706;0.0770263671875;468;0.6666666865348816;0.6666666865348816;0;0;0;6;2
693.0;14;21;3;0.3333333432674408;0.3333333432674408;0.3528205156326294;0.3528205156326294;0.0419921875;234;0.3333333432674408;0.3333333432674408;0;0;0;3;2
694.0;21;9;37;0.7551020383834839;0.7551020383834839;0.6616138219833374;0.6616138219833374;0.61004638671875;2886;0.7551020383834839;0.7551020383834839;0;0;0;37;2
694.0;9;17;12;0.2448979616165161;0.2448979616165161;0.3383861780166626;0.3383861780166626;0.31201171875;936;0.2448979616165161;0.2448979616165161;0;0;0;18;2
695.0;9;17;47;0.8703703880310059;0.8703703880310059;0.8490313291549683;0.8490313291549683;0.65802001953125;3666;0.8703703880310059;0.8703703880310059;0;0;0;65;2
695.0;17;8;7;0.12962962687015533;0.12962962687015533;0.15096865594387054;0.15096865594387054;0.11700439453125;546;0.12962962687015533;0.12962962687015533;0;0;0;7;2
696.0;8;11;48;0.8135592937469482;0.8135592937469482;0.769778847694397;0.769778847694397;0.698974609375;3744;0.8135592937469482;0.8135592937469482;0;0;0;48;2
696.0;11;2;11;0.18644067645072937;0.18644067645072937;0.23022115230560303;0.23022115230560303;0.20904541015625;858;0.18644067645072937;0.18644067645072937;0;0;0;11;2
697.0;11;2;2;0.028985507786273956;0.028985507786273956;0.0012361893896013498;0.0012361893896013498;0.0009765625;156;0.028985507786273956;0.028985507786273956;0;0;0;13;2
697.0;2;0;67;0.9710144996643066;0.9710144996643066;0.9987637996673584;0.9987637996673584;0.78900146484375;5226;0.9710144996643066;0.9710144996643066;0;0;0;67;2
702.0;14;29;27;1.0;1.0;1.0;1.0;0.592041015625;2673;1.0;1.0;0;0;0;80;2
703.0;14;29;26;0.8387096524238586;1.0;0.801823616027832;1.0;0.78900146484375;2574;0.8387096524238586;1.0;0;0;0;106;2
703.0;27;29;5;0.16129031777381897;1.0;0.19817639887332916;1.0;0.19500732421875;495;0.16129031777381897;1.0;0;0;0;58;2
704.0;27;29;48;0.9411764740943909;1.0;0.9322611093521118;1.0;1.0189208984375;4752;0.9411764740943909;1.0;0;0;0;106;2
704.0;19;29;3;0.05882352963089943;1.0;0.06773887574672699;1.0;0.07403564453125;297;0.05882352963089943;1.0;0;0;0;56;2
705.0;19;29;36;1.0;1.0;1.0;1.0;0.90399169921875;3564;1.0;1.0;0;0;0;92;2
706.0;19;29;14;0.37837839126586914;1.0;0.551332414150238;1.0;0.54803466796875;1386;0.37837839126586914;1.0;0;0;0;106;2
706.0;1;29;23;0.6216216087341309;1.0;0.4486675560474396;1.0;0.44598388671875;2277;0.6216216087341309;1.0;0;0;0;76;2
707.0;1;29;30;1.0;1.0;1.0;1.0;1.59197998046875;2970;1.0;1.0;0;0;0;106;2
708.0;13;29;13;1.0;1.0;1.0;1.0;0.4100341796875;1287;1.0;1.0;0;0;0;135;2
709.0;13;29;38;1.0;0.9743589758872986;1.0;0.9761447310447693;1.02398681640625;3762;1.0;0.9730988144874573;0;0;0;173;2
709.0;13;27;1;1.0;0.025641025975346565;1.0;0.023855239152908325;0.0250244140625;104;1.0;0.026901189237833023;0;0;0;74;2
710.0;13;29;2;1.0;0.11764705926179886;1.0;0.5995543599128723;0.5419921875;198;1.0;0.11262798309326172;0;0;0;175;2
710.0;13;27;15;1.0;0.8823529481887817;1.0;0.4004456102848053;0.36199951171875;1560;1.0;0.8873720169067383;0;0;0;89;2
712.0;19;27;5;1.0;1.0;1.0;1.0;0.20001220703125;520;1.0;1.0;0;0;0;5;2
713.0;19;27;30;1.0;1.0;1.0;1.0;0.51397705078125;3120;1.0;1.0;0;0;0;35;2
725.0;19;29;4;1.0;1.0;1.0;1.0;0.1739501953125;396;1.0;1.0;0;0;0;110;2
726.0;19;29;45;1.0;1.0;1.0;1.0;1.05804443359375;4455;1.0;1.0;0;0;0;155;2
727.0;19;29;4;1.0;1.0;1.0;1.0;2.8599853515625;396;1.0;1.0;0;0;0;159;2
729.0;1;29;6;1.0;1.0;1.0;1.0;0.1190185546875;594;1.0;1.0;0;0;0;112;2
730.0;1;29;40;1.0;1.0;1.0;1.0;1.0059814453125;3960;1.0;1.0;0;0;0;152;2
731.0;1;29;7;0.21875;1.0;0.5439147353172302;1.0;0.53900146484375;693;0.21875;1.0;0;0;0;159;2
731.0;27;29;25;0.78125;1.0;0.4560852348804474;1.0;0.45196533203125;2475;0.78125;1.0;0;0;0;131;2
732.0;27;29;28;1.0;1.0;1.0;1.0;3.7860107421875;2772;1.0;1.0;0;0;0;159;2
735.0;14;29;1;1.0;1.0;1.0;1.0;0.85198974609375;99;1.0;1.0;0;0;0;107;2
736.0;14;29;10;1.0;1.0;1.0;1.0;0.36700439453125;990;1.0;1.0;0;0;0;117;2
737.0;14;29;34;1.0;1.0;1.0;1.0;0.95703125;3366;1.0;1.0;0;0;0;151;2
738.0;14;29;8;1.0;1.0;1.0;1.0;3.52801513671875;792;1.0;1.0;0;0;0;159;2
741.0;11;8;15;1.0;1.0;1.0;1.0;0.49798583984375;1560;1.0;1.0;0;0;0;15;2
742.0;11;8;16;0.800000011920929;0.800000011920929;0.2568158209323883;0.2568158209323883;0.33001708984375;1664;0.800000011920929;0.800000011920929;0;0;0;31;2
742.0;13;27;4;0.20000000298023224;0.20000000298023224;0.7431842088699341;0.7431842088699341;0.95501708984375;416;0.20000000298023224;0.20000000298023224;0;0;0;93;2
743.0;13;27;2;1.0;0.4000000059604645;1.0;0.4661148488521576;0.1099853515625;208;1.0;0.4118811786174774;0;0;0;95;2
743.0;13;29;3;1.0;0.6000000238418579;1.0;0.5338851809501648;0.1259765625;297;1.0;0.5881187915802002;0;0;0;178;2
744.0;13;27;7;1.0;0.18918919563293457;1.0;0.14422285556793213;0.1390380859375;728;1.0;0.19686317443847656;0;0;0;102;2
744.0;13;29;30;1.0;0.8108108043670654;1.0;0.8557771444320679;0.82501220703125;2970;1.0;0.8031368255615234;0;0;0;208;2
745.0;13;29;20;1.0;1.0;1.0;1.0;0.93402099609375;1980;1.0;1.0;0;0;0;228;2
746.0;12;29;68;1.0;1.0;1.0;1.0;1.35595703125;4488;1.0;1.0;0;68;0;68;2
747.0;21;29;26;1.0;1.0;1.0;1.0;0.68701171875;2574;1.0;1.0;0;0;0;79;2
748.0;21;29;27;1.0;1.0;1.0;1.0;2.64898681640625;2673;1.0;1.0;0;0;0;106;2
750.0;27;26;21;1.0;1.0;1.0;1.0;0.36004638671875;1638;1.0;1.0;0;0;0;50;2
751.0;27;26;17;0.5666666626930237;0.5666666626930237;0.4234640598297119;0.4234640598297119;0.32098388671875;1326;0.5666666626930237;0.5666666626930237;0;0;0;67;2
